F1 Tree,a,b,r
193,0.9745816,1.103804,0.53411472
195,1.1677109,4.1291764,1.07647902
197,0.9468518,2.1548532,0.97995271
199,1.1733111,2.1740629,0.83791041
200,0.9881323,3.975658,0.83506162
202,0.8837957,2.2490205,0.90971691
203,1.2537381,2.0945714,0.71457378
204,1.2702757,3.4929887,0.71377402
205,1.1693627,1.5142861,0.30820481
206,0.7923516,2.5307623,0.64994178
207,1.0964006,2.3966142,0.73878005
208,0.647473,1.4461181,1.81450987
209,1.1915387,2.2909452,0.51345216
210,0.8855005,4.2320748,1.02468511
211,0.8926692,2.340901,0.72553849
212,1.3956772,2.3005804,0.49127248
213,0.8162738,0.9350666,0.43041158
214,1.0984061,3.7718572,0.92154555
215,1.1967148,2.2691805,0.63329525
216,1.3501847,3.8795287,0.88639394
