"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"20","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X3_P1","X3_by_X5_P2","X40_P1","X1_by_X5_P1","X37_P1","X8_P1","X47_P1","X3_by_X37_P1","X48_P1","X4_P4","X3_by_X48_P1","X40_by_X48_P1","X37_by_X40_P1","X40_by_X47_P3","X37_by_X5_P3","X3_by_X47_P1"
"21","mu_t","X1_P3","X5_P2","X3_P3","X3_by_X5_P2","X1_by_X5_P1","X39_P1","X3_by_X39_P1","X13_P1","X8_P1","X39_by_X8_P1","X36_P2","X13_by_X3_P1","X13_by_X8_P1","X14_P4","X13_by_X39_P1","X19_P3","X1_by_X3_P3","X15_P3","X3_by_X8_P1"
"22","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X1_by_X3_P3","X3_by_X5_P2","X9_P1","X8_P1","X3_by_X8_P1","X19_P1","X19_by_X8_P1","X29_P4","X3_by_X9_P1","X45_P1","X19_by_X9_P3","X23_P1","X32_P3","X3_by_X45_P1","X23_by_X9_P1"
"23","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X7_P1","X3_by_X7_P1","X8_P1","X4_P1","X4_by_X7_P1","X3_by_X4_P1","X26_P4","X1_by_X3_P3","X27_P3","X27_by_X3_P3","X33_P2","X4_by_X8_P1","X42_P1","X3_by_X8_P1"
"24","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X36_P1","X3_by_X36_P1","X1_by_X3_P3","X8_P3","X3_by_X8_P1","X31_P1","X30_P4","X31_by_X8_P1","X31_by_X36_P3","X21_P1","X21_by_X30_P3","X3_by_X31_P1","X2_P3","X12_P2"
"25","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X37_P1","X8_P1","X3_by_X37_P1","X32_P1","X1_by_X3_P3","X24_P4","X13_P1","X13_by_X37_P1","X13_by_X3_P1","X48_P3","X20_P1","X3_by_X48_P3","X12_P2","X29_P4"
"26","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X18_P1","X8_P1","X12_P1","X12_by_X3_P1","X47_P1","X1_by_X3_P3","X41_P4","X23_P3","X3_by_X47_P1","X23_by_X41_P1","X38_P1","X39_P3","X12_by_X47_P1","X3_by_X38_P1"
"27","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X34_P1","X8_P1","X3_by_X34_P1","X20_P1","X1_by_X3_P3","X32_P1","X33_P4","X32_by_X34_P3","X3_by_X32_P1","X22_P2","X16_P1","X16_by_X20_P3","X20_by_X3_P1","X10_P3"
"28","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X1_by_X3_P3","X34_P1","X8_P1","X3_by_X34_P1","X41_P1","X34_by_X41_P3","X3_by_X41_P1","X21_P4","X19_P1","X19_by_X34_P1","X19_by_X3_P1","X43_P3","X37_P1","X34_by_X37_P3"
"29","mu_t","X1_P3","X5_P2","X3_P3","X3_by_X5_P2","X1_by_X5_P1","X50_P1","X8_P1","X3_by_X50_P1","X42_P1","X42_by_X50_P1","X1_by_X3_P3","X27_P4","X5_by_X50_P3","X3_by_X42_P1","X39_P1","X39_by_X50_P1","X6_P3","X3_by_X39_P1","X16_P3"
