"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"35","mu_t","X1","X5","X1:X5","X3","X3:X5","X46","X3:X46","X8","X46:X8","X3:X8","X35","X39","X1:X3","X33","X36","X35:X36","X36:X46","X24","X24:X33"
"36","mu_t","X1","X5","X1:X5","X3","X3:X5","X1:X3","X35","X8","X3:X35","X23","X23:X35","X20","X21","X17","X23:X3","X49","X42","X11","X21:X3"
"37","mu_t","X1","X5","X3","X1:X5","X3:X5","X43","X8","X3:X43","X10","X1:X3","X34","X34:X43","X45","X10:X43","X10:X3","X13","X27","X38","X50"
"38","mu_t","X1","X5","X3","X1:X5","X3:X5","X1:X3","X8","X21","X21:X3","X21:X8","X41","X11","X21:X41","X3:X41","X33","X16","X46","X3:X46","X21:X46"
"39","mu_t","X1","X5","X3","X3:X5","X1:X3","X50","X1:X5","X3:X50","X8","X50:X8","X37","X27","X37:X8","X3:X8","X37:X50","X5:X50","X13","X3:X37","X46"
"40","mu_t","X1","X5","X3","X1:X3","X3:X5","X20","X1:X5","X20:X3","X8","X20:X8","X9","X46","X46:X8","X20:X46","X12","X3:X46","X38","X23","X3:X8"
"41","mu_t","X1","X5","X1:X5","X3","X3:X5","X35","X3:X35","X8","X35:X8","X3:X8","X15","X1:X3","X32","X17","X17:X35","X17:X8","X42","X17:X3","X46"
"42","mu_t","X1","X5","X1:X5","X3","X3:X5","X2","X1:X3","X8","X2:X3","X13","X13:X3","X31","X11","X29","X13:X2","X47","X29:X3","X22","X22:X3"
"43","mu_t","X1","X5","X1:X5","X3","X3:X5","X28","X8","X28:X3","X41","X3:X41","X28:X41","X10","X1:X3","X22","X12","X12:X41","X24","X44","X44:X5"
"44","mu_t","X1","X5","X3","X1:X5","X3:X5","X26","X26:X3","X8","X49","X1:X3","X3:X49","X26:X49","X17","X4","X4:X49","X34","X34:X5","X26:X34","X13"
"45","mu_t","X1","X5","X3","X3:X5","X1:X5","X1:X3","X8","X3:X8","X46","X3:X46","X46:X8","X26","X40","X40:X46","X22","X3:X40","X40:X8","X31","X35"
"46","mu_t","X1","X5","X3","X1:X5","X3:X5","X1:X3","X34","X8","X3:X34","X24","X37","X24:X34","X41","X24:X3","X34:X8","X44","X38","X9","X31"
"47","mu_t","X1","X5","X1:X5","X3","X3:X5","X1:X3","X8","X3:X8","X23","X23:X3","X17","X9","X23:X8","X17:X3","X37","X17:X8","X40","X3:X37","X30"
"48","mu_t","X1","X5","X1:X5","X3","X3:X5","X48","X8","X41","X3:X41","X4","X4:X48","X27","X3:X4","X37","X44","X34","X1:X3","X20","X45"
"49","mu_t","X1","X5","X1:X5","X3","X3:X5","X1:X3","X49","X8","X15","X15:X3","X3:X49","X2","X2:X49","X41","X29","X29:X8","X3:X8","X2:X8","X15:X2"
"50","mu_t","X1","X5","X1:X5","X3","X3:X5","X21","X21:X3","X8","X33","X1:X3","X49","X3:X33","X29","X24","X47","X21:X33","X29:X3","X33:X49","X3:X49"
"51","mu_t","X1","X5","X1:X5","X3","X45","X3:X5","X3:X45","X8","X50","X39","X3:X8","X47","X39:X8","X1:X3","X37","X39:X45","X1:X37","X43","X40"
"52","mu_t","X1","X5","X3","X1:X5","X3:X5","X12","X12:X3","X8","X31","X31:X8","X12:X31","X1:X3","X21","X3:X8","X21:X31","X16","X41","X3:X41","X16:X3"
"53","mu_t","X1","X5","X3","X1:X5","X3:X5","X42","X3:X42","X8","X37","X1:X3","X19","X3:X37","X19:X42","X32","X19:X8","X10","X19:X3","X19:X37","X11"
"54","mu_t","X1","X5","X3","X1:X5","X3:X5","X47","X3:X47","X1:X3","X8","X47:X8","X50","X3:X8","X15","X15:X3","X7","X1:X8","X26","X13","X15:X26"
"55","mu_t","X1","X5","X3","X1:X5","X3:X5","X1:X3","X13","X13:X3","X8","X37","X3:X37","X13:X37","X6","X9","X20","X21","X32","X3:X32","X27"
"56","mu_t","X1","X5","X1:X5","X3","X3:X5","X18","X18:X3","X1:X3","X8","X37","X3:X37","X18:X37","X25","X50","X33","X3:X50","X3:X33","X30","X10"
"57","mu_t","X1","X5","X1:X5","X3","X3:X5","X2","X2:X3","X8","X40","X40:X8","X1:X3","X20","X2:X40","X9","X3:X8","X34","X15","X15:X3","X3:X34"
"58","mu_t","X1","X5","X3","X1:X5","X3:X5","X36","X3:X36","X8","X50","X36:X50","X3:X50","X9","X1:X3","X38","X50:X8","X19","X36:X9","X23","X23:X36"
"59","mu_t","X1","X5","X1:X5","X3","X3:X5","X48","X3:X48","X8","X28","X28:X48","X12","X23","X3:X8","X32","X47","X1:X3","X23:X3","X28:X32","X42"
"60","mu_t","X1","X5","X1:X5","X3","X3:X5","X13","X13:X3","X8","X43","X3:X8","X1:X3","X13:X43","X38","X31","X47","X13:X47","X47:X8","X16","X33"
"61","mu_t","X1","X5","X3","X1:X5","X3:X5","X48","X3:X48","X8","X41","X1:X3","X15","X46","X50","X3:X8","X48:X8","X16","X41:X48","X24","X24:X3"
"62","mu_t","X1","X5","X1:X5","X3","X3:X5","X1:X3","X17","X17:X3","X8","X36","X3:X36","X18","X18:X3","X40","X32","X19","X18:X32","X19:X3","X3:X32"
"63","mu_t","X1","X5","X3","X1:X5","X3:X5","X33","X3:X33","X1:X3","X8","X3:X8","X30","X32","X35","X15","X33:X8","X38","X3:X35","X3:X30","X9"
"64","mu_t","X1","X5","X3","X1:X5","X3:X5","X4","X3:X4","X8","X48","X3:X48","X4:X48","X1:X3","X40","X36","X26","X3:X36","X25","X25:X48","X25:X3"
"65","mu_t","X1","X5","X3","X1:X5","X3:X5","X1:X3","X6","X3:X6","X8","X32","X3:X32","X32:X6","X21","X34","X14","X14:X6","X3:X34","X14:X3","X44"
"66","mu_t","X1","X5","X3","X1:X5","X3:X5","X37","X3:X37","X8","X37:X8","X1:X3","X3:X8","X30","X12","X25","X47","X32","X3:X47","X18","X37:X47"
"67","mu_t","X1","X5","X3","X3:X5","X1:X5","X28","X8","X28:X3","X39","X16","X41","X3:X39","X28:X39","X21","X1:X3","X21:X3","X39:X8","X18","X4"
"68","mu_t","X1","X5","X1:X5","X3","X3:X5","X13","X8","X13:X3","X14","X14:X3","X26","X23","X37","X49","X1:X3","X13:X23","X7","X24","X42"
"69","mu_t","X1","X5","X3","X1:X5","X3:X5","X23","X1:X3","X8","X3:X8","X12","X12:X3","X2","X7","X2:X3","X2:X8","X12:X2","X2:X23","X47","X24"
"70","mu_t","X1","X5","X3","X1:X5","X3:X5","X1:X3","X25","X25:X3","X8","X40","X37","X3:X40","X44","X19","X33","X19:X3","X3:X33","X19:X25","X25:X40"
"71","mu_t","X1","X5","X3","X3:X5","X1:X5","X1:X3","X8","X24","X24:X3","X11","X11:X24","X50","X11:X3","X10","X44","X12","X10:X3","X3:X44","X26"
"72","mu_t","X1","X5","X1:X5","X3","X3:X5","X1:X3","X48","X3:X48","X8","X4","X3:X4","X28","X4:X8","X40","X3:X8","X13","X46","X13:X3","X13:X28"
"73","mu_t","X1","X5","X1:X5","X3","X3:X5","X36","X3:X36","X8","X31","X33","X1:X3","X3:X33","X31:X33","X10","X20","X3:X31","X33:X36","X2","X27"
"74","mu_t","X1","X5","X3","X1:X5","X3:X5","X32","X3:X32","X8","X2","X34","X16","X16:X3","X16:X32","X38","X2:X38","X33","X31","X1:X3","X43"
"75","mu_t","X1","X5","X1:X5","X3","X3:X5","X1:X3","X16","X8","X16:X3","X39","X16:X39","X43","X3:X39","X22","X20","X6","X16:X6","X50","X3:X6"
